Epoch: 1, Train Loss: 0.007577, Test Loss: 0.006862, Test Acc: 0.8645
Epoch: 2, Train Loss: 0.006454, Test Loss: 0.006387, Test Acc: 0.8865
Epoch: 3, Train Loss: 0.006183, Test Loss: 0.006234, Test Acc: 0.8922
Epoch: 4, Train Loss: 0.006067, Test Loss: 0.006139, Test Acc: 0.8896
Epoch: 5, Train Loss: 0.005994, Test Loss: 0.006084, Test Acc: 0.9153
Epoch: 6, Train Loss: 0.005949, Test Loss: 0.006050, Test Acc: 0.9575
Epoch: 7, Train Loss: 0.005911, Test Loss: 0.006000, Test Acc: 0.9693
Epoch: 8, Train Loss: 0.005866, Test Loss: 0.005975, Test Acc: 0.9711
Epoch: 9, Train Loss: 0.005844, Test Loss: 0.005958, Test Acc: 0.9736
Epoch: 10, Train Loss: 0.005828, Test Loss: 0.005944, Test Acc: 0.9775
Epoch: 11, Train Loss: 0.005816, Test Loss: 0.005935, Test Acc: 0.9787
Epoch: 12, Train Loss: 0.005807, Test Loss: 0.005927, Test Acc: 0.9801
Epoch: 13, Train Loss: 0.005799, Test Loss: 0.005922, Test Acc: 0.9814
Epoch: 14, Train Loss: 0.005792, Test Loss: 0.005916, Test Acc: 0.9824
Epoch: 15, Train Loss: 0.005787, Test Loss: 0.005913, Test Acc: 0.9828
Epoch: 16, Train Loss: 0.005782, Test Loss: 0.005910, Test Acc: 0.9828
Epoch: 17, Train Loss: 0.005778, Test Loss: 0.005908, Test Acc: 0.9841
Epoch: 18, Train Loss: 0.005774, Test Loss: 0.005903, Test Acc: 0.9854
Epoch: 19, Train Loss: 0.005771, Test Loss: 0.005902, Test Acc: 0.9851
Epoch: 20, Train Loss: 0.005768, Test Loss: 0.005901, Test Acc: 0.9855
Epoch: 21, Train Loss: 0.005766, Test Loss: 0.005898, Test Acc: 0.9847
Epoch: 22, Train Loss: 0.005763, Test Loss: 0.005897, Test Acc: 0.9854
Epoch: 23, Train Loss: 0.005761, Test Loss: 0.005895, Test Acc: 0.9862
Epoch: 24, Train Loss: 0.005759, Test Loss: 0.005894, Test Acc: 0.9869
Epoch: 25, Train Loss: 0.005757, Test Loss: 0.005894, Test Acc: 0.9869
Model finished training
model saved
